channel_name,sat_name,prov_pack,frequency
AFN Prime Pacific,NSS 9,, 4055 L
AFN Prime Pacific,Intelsat 18,, 3753 R
AFN Prime Pacific,Koreasat 5A,,12470 V
AFN Prime Pacific,Koreasat 5A,,12590 V
AFN Prime Pacific,Eutelsat 9B,American Forces Network,11804 V
AFN News,NSS 9,, 4055 L
AFN News,Intelsat 18,, 3753 R
AFN News,Koreasat 5A,,12470 V
AFN News,Koreasat 5A,,12590 V
AFN News,NSS 12,, 4095 L
AFN News,Eutelsat 9B,American Forces Network,11804 V
AFN News,Intelsat 35e,, 4126 L
AFN Sports,NSS 9,, 4055 L
AFN Sports,Intelsat 18,, 3753 R
AFN Sports,Koreasat 5A,,12470 V
AFN Sports,Koreasat 5A,,12590 V
AFN Sports,NSS 12,, 4095 L
AFN Sports,Eutelsat 9B,American Forces Network,11804 V
AFN Sports,Intelsat 35e,, 4126 L
AFN The Eagle Japan,NSS 9,, 4055 L
AFN The Eagle Japan,Intelsat 18,, 3753 R
AFN The Voice,NSS 9,, 4055 L
AFN The Voice,Intelsat 18,, 3753 R
AFN The Voice,Koreasat 5A,,12470 V
AFN The Voice,Koreasat 5A,,12590 V
AFN The Voice,NSS 12,, 4095 L
AFN The Voice,Eutelsat 9B,American Forces Network,11804 V
AFN The Voice,Intelsat 35e,, 4126 L
AFN Music Service 1,NSS 9,, 4055 L
AFN Music Service 1,NSS 12,, 4095 L
AFN Music Service 1,Intelsat 35e,, 4126 L
AFN Music Service 2,NSS 9,, 4055 L
AFN Music Service 2,NSS 12,, 4095 L
AFN Music Service 2,Intelsat 35e,, 4126 L
KGTF,NSS 9,, 4152 R
BYU TV Global,NSS 9,, 4192 R
BYU TV Global,SES 5,,12015 V
AFN Prime Atlantic,Intelsat 18,, 3753 R
AFN Prime Atlantic,Koreasat 5A,,12470 V
AFN Prime Atlantic,Koreasat 5A,,12590 V
AFN Prime Atlantic,NSS 12,, 4095 L
AFN Prime Atlantic,Eutelsat 9B,American Forces Network,11804 V
AFN Prime Atlantic,Intelsat 35e,, 4126 L
AFN Spectrum,Intelsat 18,, 3753 R
AFN Spectrum,Koreasat 5A,,12470 V
AFN Spectrum,Koreasat 5A,,12590 V
AFN Spectrum,Eutelsat 9B,American Forces Network,11804 V
AFN Sports 2,Intelsat 18,, 3753 R
AFN Sports 2,Koreasat 5A,,12470 V
AFN Sports 2,Koreasat 5A,,12590 V
AFN Sports 2,NSS 12,, 4095 L
AFN Sports 2,Eutelsat 9B,American Forces Network,11804 V
AFN Sports 2,Intelsat 35e,, 4126 L
AFN Family,Intelsat 18,, 3753 R
AFN Family,Koreasat 5A,,12470 V
AFN Family,Koreasat 5A,,12590 V
AFN Family,Eutelsat 9B,American Forces Network,11804 V
AFN Movie,Intelsat 18,, 3753 R
AFN Movie,Koreasat 5A,,12470 V
AFN Movie,Koreasat 5A,,12590 V
AFN Movie,Eutelsat 9B,American Forces Network,11804 V
AFN Guide,Intelsat 18,, 3753 R
AFN PowerTalk,Intelsat 18,, 3753 R
AFN PowerTalk,Koreasat 5A,,12470 V
AFN PowerTalk,Koreasat 5A,,12590 V
AFN PowerTalk,Eutelsat 9B,American Forces Network,11804 V
AFN Clutch,Intelsat 18,, 3753 R
AFN Clutch,Koreasat 5A,,12470 V
AFN Clutch,Koreasat 5A,,12590 V
AFN Clutch,Eutelsat 9B,American Forces Network,11804 V
AFN Fans,Intelsat 18,, 3753 R
AFN Fans,Koreasat 5A,,12470 V
AFN Fans,Koreasat 5A,,12590 V
AFN Fans,Eutelsat 9B,American Forces Network,11804 V
AFN The Blend,Intelsat 18,, 3753 R
AFN The Blend,Koreasat 5A,,12470 V
AFN The Blend,Koreasat 5A,,12590 V
AFN The Blend,Eutelsat 9B,American Forces Network,11804 V
AFN Legacy,Intelsat 18,, 3753 R
AFN Legacy,Koreasat 5A,,12470 V
AFN Legacy,Koreasat 5A,,12590 V
AFN Legacy,Eutelsat 9B,American Forces Network,11804 V
AFN's Joe Radio,Intelsat 18,, 3753 R
AFN's Joe Radio,Koreasat 5A,,12470 V
AFN's Joe Radio,Koreasat 5A,,12590 V
AFN's Joe Radio,Eutelsat 9B,American Forces Network,11804 V
AFN Gravity,Intelsat 18,, 3753 R
AFN Gravity,Koreasat 5A,,12470 V
AFN Gravity,Koreasat 5A,,12590 V
AFN Gravity,Eutelsat 9B,American Forces Network,11804 V
AFN Country,Intelsat 18,, 3753 R
AFN Country,Koreasat 5A,,12470 V
AFN Country,Koreasat 5A,,12590 V
AFN Country,Eutelsat 9B,American Forces Network,11804 V
NPR AFN,Intelsat 18,, 3753 R
