name,encryption,vid_encode,FEC,SR
AFN Prime Pacific,PowerVuVerimatrix,MPEG-4HD 720,2/3,27500
AFN News,PowerVuVerimatrix,MPEG-4SD,1/2,11000
AFN Sports,PowerVuVerimatrix,MPEG-4SD,1/2,11000
AFN The Eagle Japan,PowerVuVerimatrix,,2/3,30000
AFN The Voice,PowerVuVerimatrix,,1/2,11000
AFN Music Service 1,PowerVuVerimatrix,,1/2,11000
AFN Music Service 2,PowerVuVerimatrix,,1/2,11000
KGTF,,MPEG-4SD, ,2127
BYU TV Global,,MPEG-4SD,3/4,29950
AFN Prime Atlantic,PowerVuVerimatrix,MPEG-4SD,1/2,11000
AFN Spectrum,PowerVuVerimatrix,MPEG-4HD,2/3,27500
AFN Sports 2,PowerVuVerimatrix,MPEG-4SD,1/2,11000
AFN Family,PowerVuVerimatrix,MPEG-4HD,2/3,27500
AFN Movie,PowerVuVerimatrix,MPEG-4HD 720,2/3,27500
AFN Guide,PowerVuVerimatrix,MPEG-2SD,2/3,30000
AFN PowerTalk,PowerVuVerimatrix,,2/3,27500
AFN Clutch,PowerVuVerimatrix,,2/3,27500
AFN Fans,PowerVuVerimatrix,,2/3,27500
AFN The Blend,PowerVuVerimatrix,,2/3,27500
AFN Legacy,PowerVuVerimatrix,,2/3,27500
AFN's Joe Radio,PowerVuVerimatrix,,2/3,27500
AFN Gravity,PowerVuVerimatrix,,2/3,27500
AFN Country,PowerVuVerimatrix,,2/3,27500
NPR AFN,PowerVuVerimatrix,,2/3,27500
AFN Seasonal,PowerVuVerimatrix,,2/3,27500
AFN Contingency,PowerVuVerimatrix,,2/3,27500
AFN Freedom Rock,PowerVuVerimatrix,,2/3,27500
AFN The Eagle Iwakuni,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Daegu,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Humphreys,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Kunsan,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Misawa,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Okinawa,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Tokyo,PowerVuVerimatrix,,2/3,30000
AFN The Eagle Sasebo,PowerVuVerimatrix,,2/3,30000
ABC Australia Pacific,,MPEG-4SD,3/4,15000
Radio Australia English for the Pacific,,,7/8,19850
Radio Australia English for Asia,,,7/8,19850
MTN Special Events,PowerVu,MPEG-4SD,3/4,30000
MSNBC International,PowerVu,MPEG-4SD,3/4,30000
Fox News Channel,Videoguard,,,
CNBC US,Videoguard,,,
Sky News International,PowerVu,MPEG-4SD,3/4,30000
BBC News,PowerVu,MPEG-4SD,1/2,3320
Prime Journey,PowerVu,MPEG-4SD,3/4,30000
Sky Sports News UK,PowerVu,MPEG-4SD,3/4,30000
Sport 24,PowerVu,MPEG-4SD,1/2,3320
Prime One,PowerVu,MPEG-4SD,3/4,30000
Sport 24 Extra,PowerVu,MPEG-4SD,3/4,30000
RTL Deutschland,Xcrypt,HEVCHD 720,3/4,22000
Sky News Australia,PowerVu,MPEG-4SD,3/4,30000
TFC Middle East,PowerVu,MPEG-4SD,1/2,3320
Prime Favorites,PowerVu,MPEG-4SD,3/4,30000
BBC HD,,HEVCHD,5/6,49000
TVE Internacional Europa,Nagravision,MPEG-4SD,3/4,27500
Canal 24 Horas,,MPEG-2SD,5/6,30000
Australian Comedy & Drama Channel,PowerVu,MPEG-4SD,3/4,30000
ABC News,PowerVu,MPEG-4SD,3/4,30000
Food Network East,Videoguard,,,
HGTV East,Videoguard,,,
Travel Channel East,Videoguard,,,
France 24 Français,Nagravision,MPEG-4SD,3/4,20000
Mediaset Italia,Videoguard,,,
Hunan TV,PowerVu,MPEG-4SD,4/5,31420
CCTV 6,Nagravision,MPEG-4SD,3/4,20000
CCTV Entertainment,Nagravision,MPEG-4SD,3/4,20000
CCTV 4 America,Videoguard,,,
National Geographic UK,PowerVu,MPEG-4SD,3/4,30000
NBC TV,,MPEG-4SD,3/4,15000
EM TV,,MPEG-4SD,3/4,15000
CGTN,,MPEG-4HD 1080,1/2,20000
Pasifika TV,BISS,MPEG-4HD 1080,3/5,8400
CGTN Arabic,,MPEG-2SD,5/6,27500
NBC National Radio,,,5/6,10414
Tribe 92 FM,,,5/6,10414
Lalokau FM,,,5/6,10414
Hope Channel Australia,Irdeto,MPEG-4SD,3/5,30000
LifeTalk Radio,,,3/4,22000
Hope FM 88.1,,,3/4,3330
Hope FM 107.5,,,3/4,3330
Radio Nuevo Tiempo,,,2/3,3330
FBC TV,Verimatrix,MPEG-4SD,3/5,15000
FBC Sports,Verimatrix,MPEG-4HD,3/5,15000
FBC 2,Verimatrix,MPEG-4SD,3/5,15000
Parliament of Fiji,Verimatrix,MPEG-4SD,3/5,15000
Fiji One,Verimatrix,MPEG-4SD,3/5,15000
Channel 2,Verimatrix,MPEG-4SD,3/5,15000
Mai TV,Verimatrix,MPEG-4SD,3/5,15000
Hope Channel Fiji,Verimatrix,MPEG-4SD,3/5,15000
Education Channel,,MPEG-4SD,3/4,30000
Radio Fiji Two,,,3/5,15000
Bula FM,,,3/5,15000
Gold FM,,,3/5,15000
Mirchi FM,,,3/5,15000
2day FM,,,3/5,15000
Radio Fiji One,,,3/5,15000
K-Love,,,3/4,2800
Air 1 Radio,,,5/6,520
Rai Italia Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Alpha Sat,Nagravision,MPEG-4SD,3/4,20000
ERT World,,HEVC,2/3,30000
Ant1 Pacific,IrdetoVideoguard,MPEG-2SD,3/4,27800
Greek Cinema,Nagravision,MPEG-4SD,3/4,20000
SportPlus,Nagravision,MPEG-4SD,3/4,20000
Al Jadeed,Nagravision,MPEG-4SD,3/4,20000
LBC International,Nagravision,MPEG-4SD,3/4,20000
NourSat,Nagravision,MPEG-4SD,3/4,20000
MBC Maser,,MPEG-2SD,5/6,27500
MTV,,MPEG-4HD 1080,3/4,27500
Aljazeera Channel,MediaguardNagravision,HEVCSD,3/4,30000
Animal Planet Taiwan,Topreal,MPEG-4SD,3/4,45000
TLC Taiwan,PowerVu,MPEG-4HD,3/4,30000
Discovery Channel Taiwan,Topreal,MPEG-4SD,3/4,45000
TLC New Zealand,Videoguard,MPEG-4SD,3/4,22500
Discovery Channel Philippines,ConaxVideoguard,MPEG-4SD,2/3,20000
TLC Philippines,ConaxVideoguard,MPEG-4SD,3/4,20000
Nickelodeon South East Asia,Irdeto,MPEG-4SD,5/6,27690
MTV 90s,Conax,MPEG-4SD,3/4,30000
MTV Live Australia,,MPEG-4SD,3/4,15000
Paramount Network Asia,StreamGuardTongfang,MPEG-4HD 1080,3/4,30000
Nick Jr Asia,StreamGuardTongfang,MPEG-4SD,3/4,30000
China Radio International,,,2/3,990
China Plus Radio,,,1/2,18000
CRI Newsradio,Videoguard,,3/4,28800
PacificAus TV,BISS,MPEG-4SD,2/3,3600
Animal Planet Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Animal Planet New Zealand,Videoguard,MPEG-4SD,3/4,22500
Discovery Channel New Zealand,Videoguard,MPEG-4SD,3/4,22500
TLC Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Eurosport Asia,Irdeto,MPEG-4SD,5/6,27690
Investigation Discovery Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Discovery Channel Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Discovery Turbo Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Eve,NagravisionTongfang,MPEG-4SD,5/6,43200
Discovery Science Southeast Asia,IrdetoVideoguard,MPEG-4SD,3/5,32720
DMAX Southeast Asia,Videoguard,MPEG-4HD 1080,3/5,30000
Animal Planet Southeast Asia,StreamGuardTongfang,MPEG-4SD,2/3,24500
Discovery Channel Southeast Asia,StreamGuardTongfang,MPEG-4SD,2/3,24500
TLC Southeast Asia,StreamGuardTongfang,MPEG-4SD,3/4,30000
Discovery Channel China Hotels,PowerVu,MPEG-4HD 1080,3/4,30000
Discovery Asia,StreamGuardTongfang,MPEG-4HD 1080,3/4,45000
VoA TV Global,,MPEG-4HD,1/2,12500
VoA/RFA News,,MPEG-2SD,5/6,30000
VoA TV China,,MPEG-4HD 1080,3/4,14400
VoA TV Africa,,MPEG-4HD,3/4,27500
BBC News Asia Pacific,IrdetoVideoguard,MPEG-4SD,2/3,30000
EWTN Asia - Pacific,,MPEG-4SD,1/2,16303
ESPN Pacific Rim,,MPEG-4SD,3/4,15000
CNBC Asia-Pacific,Irdeto,MPEG-4SD,5/6,27690
CNBC Australia,IrdetoVideoguard,MPEG-2SD,3/4,27800
Dog TV,Videoguard,,,
Voice of America,,,3/4,30000
VoA Djibouti MW,,,5/6,27500
VoA Urdu,,,3/4,14400
VoA 1,,,1/2,12500
VoA East Timor,,,3/4,14400
EWTN Radio,,,,
Radio Free Asia,,,3/4,27500
VoA Tibetan,,,3/4,14400
VoA Madagascar,,,3/4,27500
VoA Mongolia,,,3/4,14400
Angel 5,,,3/4,26400
Palau FM,,,3/4,30000
VoA Djibouti FM,,,3/4,7043
Deewa Radio,,,3/4,27500
Radio Farda,,,3/4,27500
Radio Free Ashna,,,3/4,14400
Discovery Channel Japan,B-CAS,,3/4,28860
Animal Planet Japan,B-CAS,,3/4,28860
Asian Food Network,StreamGuardTongfang,MPEG-4SD,3/4,45000
